id,occasion,city,act,genre,budget
17028,Bruiloft,Geel,Solo,Akoestisch,300
17029,Kroegavond ,Voorst,Band,Rock,450
17030,kroeg,Voorst ,Band,Rock,500
17031,Mariage,Lyon,Solo,Hardstyle,10
17031,Mariage,Lyon,Band,Hardstyle,10
17033,Gala,Enschede,Band,Pop,1300
17033,Gala,Enschede,Band,Rock,1300
17033,Gala,Enschede,Band,Jazz,1300
17033,Gala,Enschede,Band,Blues,1300
17033,Gala,Enschede,Band,Coverband,1300
17033,Gala,Enschede,Band,Latin,1300
17033,Gala,Enschede,Band,Disco,1300
17033,Gala,Enschede,Band,Allround,1300
17033,Gala,Enschede,Band,Entertainment,1300
17033,Gala,Enschede,Band,Country,1300
17033,Gala,Enschede,Band,Swing,1300
17033,Gala,Enschede,Band,Easy Listening,1300
17034,Gastkokdiner met afterparty,Oosterhout,Ensemble (e.g. duo or trio),Pop,1000
17034,Gastkokdiner met afterparty,Oosterhout,Solo,Pop,1000
17034,Gastkokdiner met afterparty,Oosterhout,Band,Pop,1000
17034,Gastkokdiner met afterparty,Oosterhout,DJ,Pop,1000
17034,Gastkokdiner met afterparty,Oosterhout,Ensemble (e.g. duo or trio),Dance,1000
17034,Gastkokdiner met afterparty,Oosterhout,Solo,Dance,1000
17034,Gastkokdiner met afterparty,Oosterhout,Band,Dance,1000
17034,Gastkokdiner met afterparty,Oosterhout,DJ,Dance,1000
17034,Gastkokdiner met afterparty,Oosterhout,Ensemble (e.g. duo or trio),Disco,1000
17034,Gastkokdiner met afterparty,Oosterhout,Solo,Disco,1000
17034,Gastkokdiner met afterparty,Oosterhout,Band,Disco,1000
17034,Gastkokdiner met afterparty,Oosterhout,DJ,Disco,1000
17034,Gastkokdiner met afterparty,Oosterhout,Ensemble (e.g. duo or trio),Swing,1000
17034,Gastkokdiner met afterparty,Oosterhout,Solo,Swing,1000
17034,Gastkokdiner met afterparty,Oosterhout,Band,Swing,1000
17034,Gastkokdiner met afterparty,Oosterhout,DJ,Swing,1000
17034,Gastkokdiner met afterparty,Oosterhout,Ensemble (e.g. duo or trio),80s,1000
17034,Gastkokdiner met afterparty,Oosterhout,Solo,80s,1000
17034,Gastkokdiner met afterparty,Oosterhout,Band,80s,1000
17034,Gastkokdiner met afterparty,Oosterhout,DJ,80s,1000
17035,Evenement/inzamelings actue,Deurne,Ensemble (e.g. duo or trio),Rock 'n Roll,0
17035,Evenement/inzamelings actue,Deurne,Band,Rock 'n Roll,0
17035,Evenement/inzamelings actue,Deurne,Ensemble (e.g. duo or trio),Country,0
17035,Evenement/inzamelings actue,Deurne,Band,Country,0
17036,Coctel boda,Villarrubia de los Ojos.ciudad real.,Ensemble (e.g. duo or trio),Flamenco,400
17037,Carpa de carnaval,Ciudad Real ,DJ,Pop,500
17038,diner,blankenberge,Solo,Entertainment,400
17039,Apertura de un pub,Pontevedra caldas de reyes,DJ,Reggaeton,300
17040,Evento de empresa,"Alalpardo, Madrid",Ensemble (e.g. duo or trio),Jazz,250
17041,Neujahrsfeier,Wien,Solo,Jazz,600
17041,Neujahrsfeier,Wien,Solo,Blues,600
17041,Neujahrsfeier,Wien,Solo,Disco,600
17041,Neujahrsfeier,Wien,Solo,Entertainment,600
17041,Neujahrsfeier,Wien,Solo,Easy Listening,600
17042,Opening coffee café Anne&Max,Amsterdam,Solo,Pop,300
17042,Opening coffee café Anne&Max,Amsterdam,Solo,Soul,300
17043,zakelijk team dinner,Amsterdan,Ensemble (e.g. duo or trio),Akoestisch,1500
17043,zakelijk team dinner,Amsterdan,Solo,Akoestisch,1500
17043,zakelijk team dinner,Amsterdan,Ensemble (e.g. duo or trio),Soul,1500
17043,zakelijk team dinner,Amsterdan,Solo,Soul,1500
17043,zakelijk team dinner,Amsterdan,Ensemble (e.g. duo or trio),R&B,1500
17043,zakelijk team dinner,Amsterdan,Solo,R&B,1500
17043,zakelijk team dinner,Amsterdan,Ensemble (e.g. duo or trio),Klassiek,1500
17043,zakelijk team dinner,Amsterdan,Solo,Klassiek,1500
17043,zakelijk team dinner,Amsterdan,Ensemble (e.g. duo or trio),Easy Listening,1500
17043,zakelijk team dinner,Amsterdan,Solo,Easy Listening,1500
17043,zakelijk team dinner,Amsterdan,Ensemble (e.g. duo or trio),A capella,1500
17043,zakelijk team dinner,Amsterdan,Solo,A capella,1500
17044,Bruiloft,Beekbergen,DJ,Allround,450
17045,Nochevieja en un restaurante ,Torrevieja ,Ensemble (e.g. duo or trio),Pop,500
17045,Nochevieja en un restaurante ,Torrevieja ,Solo,Pop,500
17045,Nochevieja en un restaurante ,Torrevieja ,Ensemble (e.g. duo or trio),Rock,500
17045,Nochevieja en un restaurante ,Torrevieja ,Solo,Rock,500
17045,Nochevieja en un restaurante ,Torrevieja ,Ensemble (e.g. duo or trio),Akoestisch,500
17045,Nochevieja en un restaurante ,Torrevieja ,Solo,Akoestisch,500
17046,Cumpleaños ,Barcelona,Ensemble (e.g. duo or trio),Pop,500
17046,Cumpleaños ,Barcelona,Solo,Pop,500
17046,Cumpleaños ,Barcelona,Band,Pop,500
17046,Cumpleaños ,Barcelona,Ensemble (e.g. duo or trio),Coverband,500
17046,Cumpleaños ,Barcelona,Solo,Coverband,500
17046,Cumpleaños ,Barcelona,Band,Coverband,500
17046,Cumpleaños ,Barcelona,Ensemble (e.g. duo or trio),Reggaeton,500
17046,Cumpleaños ,Barcelona,Solo,Reggaeton,500
17046,Cumpleaños ,Barcelona,Band,Reggaeton,500
17046,Cumpleaños ,Barcelona,Ensemble (e.g. duo or trio),90s,500
17046,Cumpleaños ,Barcelona,Solo,90s,500
17046,Cumpleaños ,Barcelona,Band,90s,500
17047,"12,5 jaar huwelijk",Uithoorn ,Band,Rock 'n Roll,1800
17047,"12,5 jaar huwelijk",Uithoorn ,Band,Allround,1800
17047,"12,5 jaar huwelijk",Uithoorn ,Band,Swing,1800
17048,Neujahrsfeier,Wien,Ensemble (e.g. duo or trio),Jazz,1500
17048,Neujahrsfeier,Wien,Ensemble (e.g. duo or trio),Blues,1500
17048,Neujahrsfeier,Wien,Ensemble (e.g. duo or trio),Soul,1500
17048,Neujahrsfeier,Wien,Ensemble (e.g. duo or trio),Disco,1500
17048,Neujahrsfeier,Wien,Ensemble (e.g. duo or trio),Allround,1500
17048,Neujahrsfeier,Wien,Ensemble (e.g. duo or trio),Entertainment,1500
