question,answer,context,topic
its my friends birthday,Sounds nice! Where is it?,User: its my friends birthday Bot: Sounds nice! Where is it?,occasion
It will be hosted at the local park in den Hague.,"I like this area. Are you looking for a DJ, band, ensemble, or solo artist?","User: its my friends birthday Bot: Sounds nice! Where is it? User: It will be hosted at the local park in den Hague. Bot: I like this area. Are you looking for a DJ, band, ensemble, or solo artist?",location
I'm looking for a solo artist.,Good choice. Which music genre are you interested in?,"User: its my friends birthday Bot: Sounds nice! Where is it? User: It will be hosted at the local park in den Hague. Bot: I like this area. Are you looking for a DJ, band, ensemble, or solo artist? User: I'm looking for a solo artist. Bot: Good choice. Which music genre are you interested in?",formation
I'm interested in classical music.,Nice. How much would you like to pay?,"User: its my friends birthday Bot: Sounds nice! Where is it? User: It will be hosted at the local park in den Hague. Bot: I like this area. Are you looking for a DJ, band, ensemble, or solo artist? User: I'm looking for a solo artist. Bot: Good choice. Which music genre are you interested in? User: I'm interested in classical music. Bot: Nice. How much would you like to pay?",genre
I have a budget of $800.,Noted. Check the website. Here are some artists that might interest you.,"User: its my friends birthday Bot: Sounds nice! Where is it? User: It will be hosted at the local park in den Hague. Bot: I like this area. Are you looking for a DJ, band, ensemble, or solo artist? User: I'm looking for a solo artist. Bot: Good choice. Which music genre are you interested in? User: I'm interested in classical music. Bot: Nice. How much would you like to pay? User: I have a budget of $800. Bot: Noted. Check the website. Here are some artists that might interest you.",price
thanks,No problem.,"User: its my friends birthday Bot: Sounds nice! Where is it? User: It will be hosted at the local park in den Hague. Bot: I like this area. Are you looking for a DJ, band, ensemble, or solo artist? User: I'm looking for a solo artist. Bot: Good choice. Which music genre are you interested in? User: I'm interested in classical music. Bot: Nice. How much would you like to pay? User: I have a budget of $800. Bot: Noted. Check the website. Here are some artists that might interest you. User: thanks Bot: No problem.",conclusion
its an anniversary,That sounds fantastic! Can you tell me the venue for this event?,User: its an anniversary Bot: That sounds fantastic! Can you tell me the venue for this event?,occasion
The event will take place in the community park in Amsterdam.,"Great location! What kind of music performance are you envisioning? A DJ, a full band, a small group, or perhaps a solo performer?","User: its an anniversary Bot: That sounds fantastic! Can you tell me the venue for this event? User: The event will take place in the community park. Bot: Great location! What kind of music performance are you envisioning? A DJ, a full band, a small group, or perhaps a solo performer?",location
"Actually, I'm thinking of hiring a solo performer.",Excellent choice. Do you have a particular music style in mind for this solo performer?,"User: its an anniversary Bot: That sounds fantastic! Can you tell me the venue for this event? User: The event will take place in the community park. Bot: Great location! What kind of music performance are you envisioning? A DJ, a full band, a small group, or perhaps a solo performer? User: Actually, I'm thinking of hiring a solo performer. Bot: Excellent choice. Do you have a particular music style in mind for this solo performer?",formation
"Yes, I would prefer classical music for the event.",Sounds elegant. What's your budget for booking the artist?,"User: its an anniversary Bot: That sounds fantastic! Can you tell me the venue for this event? User: The event will take place in the community park in Amsterdam. Bot: Great location! What kind of music performance are you envisioning? A DJ, a full band, a small group, or perhaps a solo performer? User: Actually, I'm thinking of hiring a solo performer. Bot: Excellent choice. Do you have a particular music style in mind for this solo performer? User: Yes, I would prefer classical music for the event. Bot: Sounds elegant. What's your budget for booking the artist?",genre
My budget is around $800.,Understood. I've curated a selection that fits your criteria.,"User: its an anniversary Bot: That sounds fantastic! Can you tell me the venue for this event? User: The event will take place in the community park in Amsterdam. Bot: Great location! What kind of music performance are you envisioning? A DJ, a full band, a small group, or perhaps a solo performer? User: Actually, I'm thinking of hiring a solo performer. Bot: Excellent choice. Do you have a particular music style in mind for this solo performer? User: Yes, I would prefer classical music for the event. Bot: Sounds elegant. What's your budget for booking the artist? User: My budget is around $800. Bot: Understood. I've curated a selection that fits your criteria.",price
thank you,Sure!,"User: its an anniversary Bot: That sounds fantastic! Can you tell me the venue for this event? User: The event will take place in the community park in Amsterdam. Bot: Great location! What kind of music performance are you envisioning? A DJ, a full band, a small group, or perhaps a solo performer? User: Actually, I'm thinking of hiring a solo performer. Bot: Excellent choice. Do you have a particular music style in mind for this solo performer? User: Yes, I would prefer classical music for the event. Bot: Sounds elegant. What's your budget for booking the artist? User: My budget is around $800. Bot: Understood. I've curated a selection that fits your criteria. User: thank you Bot: Sure!",conclusion
its a work event,Cool! Could you tell me where is it?,User: its a work event Bot: Cool! Could you tell me where is it?,occasion
